x y z
0.101507 -0.065828 0.138127
0.101312 -0.065835 0.138113
0.101083 -0.065844 0.138101
0.100907 -0.065850 0.138092
0.100791 -0.065855 0.138086
0.100546 -0.065863 0.138069
0.100417 -0.065865 0.138061
0.100208 -0.065875 0.138042
0.100020 -0.065886 0.138019
0.099846 -0.065897 0.137989
0.099652 -0.065901 0.137956
0.099536 -0.065903 0.137934
0.099365 -0.065910 0.137900
0.099185 -0.065924 0.137862
0.099016 -0.065946 0.137824
0.098883 -0.065967 0.137796
0.098733 -0.065995 0.137768
0.098637 -0.066016 0.137754
0.098504 -0.066046 0.137741
0.098337 -0.066088 0.137729
0.098211 -0.066122 0.137718
0.098039 -0.066178 0.137698
0.097906 -0.066221 0.137682
0.097789 -0.066254 0.137669
0.097708 -0.066277 0.137657
0.097612 -0.066301 0.137638
0.097446 -0.066345 0.137596
0.097391 -0.066362 0.137580
0.097278 -0.066400 0.137550
0.097154 -0.066443 0.137519
0.097041 -0.066494 0.137498
0.096934 -0.066545 0.137484
0.096813 -0.066601 0.137477
0.096710 -0.066648 0.137477
0.096592 -0.066718 0.137485
0.096489 -0.066785 0.137496
0.096375 -0.066868 0.137506
0.096286 -0.066930 0.137511
0.096209 -0.066993 0.137515
0.096082 -0.067111 0.137515
0.095988 -0.067207 0.137512
0.095894 -0.067308 0.137513
0.095805 -0.067407 0.137513
0.095713 -0.067517 0.137514
0.095620 -0.067644 0.137515
0.095547 -0.067760 0.137514
0.095463 -0.067902 0.137515
0.095386 -0.068040 0.137521
0.095271 -0.068265 0.137538
0.095222 -0.068368 0.137549
0.095154 -0.068510 0.137565
0.095135 -0.068549 0.137570
0.095020 -0.068817 0.137596
0.094966 -0.068958 0.137607
0.094909 -0.069132 0.137622
0.094837 -0.069356 0.137653
0.094805 -0.069468 0.137668
0.094751 -0.069703 0.137693
0.094717 -0.069878 0.137711
0.094668 -0.070076 0.137736
0.094635 -0.070194 0.137753
0.094574 -0.070374 0.137783
0.094532 -0.070509 0.137806
0.094483 -0.070725 0.137834
0.094461 -0.070879 0.137851
0.094436 -0.071091 0.137866
0.094410 -0.071278 0.137881
0.094372 -0.071486 0.137906
0.094323 -0.071690 0.137940
0.094290 -0.071848 0.137965
0.094237 -0.072089 0.138007
0.094191 -0.072376 0.138049
0.094169 -0.072529 0.138072
0.094144 -0.072715 0.138099
0.094104 -0.072985 0.138140
0.094066 -0.073229 0.138173
